<<<<<<< HEAD
city,place_type,location,date_time,temp_celsius,rain_1h,clouds_all,day,hour,month,dayofweek,event_density,footfall
Tiruppur,railway_station,Railway_Station near Tiruppur,2024-02-08 06:00:00,39.2,2.03,8,8,6,2,3,0.0,3283
Cuddalore,theater,Theater near Cuddalore,2024-08-05 17:00:00,29.1,2.58,37,5,17,8,0,0.0,277
Ramanathapuram,stadium,Stadium near Ramanathapuram,2024-07-14 18:00:00,25.8,6.82,52,14,18,7,6,0.5,2396
Tiruchirappalli,tourist_spot,Tourist_Spot near Tiruchirappalli,2024-11-28 16:00:00,26.4,6.39,100,28,16,11,3,0.0,1632
Tirunelveli,metro_station,Metro_Station near Tirunelveli,2024-05-15 20:00:00,33.4,1.98,83,15,20,5,2,0.0,2795
Salem,stadium,Stadium near Salem,2024-06-23 19:00:00,35.3,4.53,43,23,19,6,6,0.2,1851
Chennai,hospital,Hospital near Chennai,2024-04-16 12:00:00,26.6,0.54,60,16,12,4,1,0.0,669
Sivakasi,hospital,Hospital near Sivakasi,2024-06-06 22:00:00,27.7,0.06,64,6,22,6,3,0.0,732
Tiruchirappalli,railway_station,Railway_Station near Tiruchirappalli,2024-04-21 16:00:00,29.5,0.06,0,21,16,4,6,0.0,3101
Kanchipuram,railway_station,Railway_Station near Kanchipuram,2024-01-07 10:00:00,30.5,1.17,14,7,10,1,6,0.0,2760
Pollachi,mall,Mall near Pollachi,2024-05-21 15:00:00,32.1,1.41,52,21,15,5,1,0.0,1659
Karur,mall,Mall near Karur,2024-12-02 12:00:00,31.0,0.56,58,2,12,12,0,0.0,1705
Erode,mall,Mall near Erode,2024-10-24 04:00:00,31.5,3.09,41,24,4,10,3,0.0,1839
Karur,railway_station,Railway_Station near Karur,2024-02-22 12:00:00,23.7,0.76,17,22,12,2,3,0.5,3791
Kanyakumari,temple,Temple near Kanyakumari,2024-05-26 08:00:00,29.5,0.87,15,26,8,5,6,0.0,3267
Kanchipuram,bus_stop,Bus_Stop near Kanchipuram,2024-11-11 18:00:00,26.8,1.15,33,11,18,11,0,1.0,11196
Dindigul,hospital,Hospital near Dindigul,2024-11-19 18:00:00,40.9,0.14,36,19,18,11,1,0.0,878
Erode,railway_station,Railway_Station near Erode,2024-01-02 16:00:00,36.3,2.95,63,2,16,1,1,0.0,3028
Cuddalore,mall,Mall near Cuddalore,2024-05-19 17:00:00,34.0,0.08,27,19,17,5,6,0.2,5225
Madurai,stadium,Stadium near Madurai,2024-07-07 19:00:00,29.2,5.39,67,7,19,7,6,0.0,1583
Cuddalore,bus_stop,Bus_Stop near Cuddalore,2024-06-25 06:00:00,39.2,0.52,33,25,6,6,1,0.0,2472
Pollachi,hospital,Hospital near Pollachi,2024-01-11 02:00:00,35.9,1.59,11,11,2,1,3,0.0,818
Nagercoil,tourist_spot,Tourist_Spot near Nagercoil,2024-03-12 10:00:00,22.6,4.2,89,12,10,3,1,0.0,1547
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-07-17 03:00:00,37.0,1.2,49,17,3,7,2,0.0,1876
Karur,metro_station,Metro_Station near Karur,2024-12-27 17:00:00,20.0,0.02,0,27,17,12,4,0.0,6830
Pollachi,stadium,Stadium near Pollachi,2024-05-09 20:00:00,25.9,0.74,0,9,20,5,3,0.0,1463
Karur,metro_station,Metro_Station near Karur,2024-08-24 11:00:00,31.2,0.4,1,24,11,8,5,0.0,2732
Villupuram,tourist_spot,Tourist_Spot near Villupuram,2024-03-06 22:00:00,28.7,0.57,30,6,22,3,2,0.2,759
Villupuram,theater,Theater near Villupuram,2024-09-21 22:00:00,32.3,2.88,33,21,22,9,5,0.0,836
Sivakasi,park,Park near Sivakasi,2024-07-19 06:00:00,27.5,0.71,100,19,6,7,4,0.0,574
Nagercoil,theater,Theater near Nagercoil,2024-04-10 19:00:00,33.3,0.63,20,10,19,4,2,0.0,559
Sivakasi,railway_station,Railway_Station near Sivakasi,2024-06-22 16:00:00,35.4,0.4,40,22,16,6,5,0.0,2544
Pollachi,college,College near Pollachi,2024-09-06 03:00:00,35.8,0.77,26,6,3,9,4,0.0,971
Dindigul,theater,Theater near Dindigul,2024-11-26 13:00:00,21.7,5.03,0,26,13,11,1,0.0,381
Nagercoil,college,College near Nagercoil,2024-09-19 01:00:00,33.5,0.55,47,19,1,9,3,0.5,1918
Ramanathapuram,railway_station,Railway_Station near Ramanathapuram,2024-04-05 06:00:00,32.7,1.72,6,5,6,4,4,0.0,2305
Thoothukudi,mall,Mall near Thoothukudi,2024-10-25 10:00:00,23.2,1.1,63,25,10,10,4,0.0,1595
Chennai,park,Park near Chennai,2024-04-18 23:00:00,29.2,1.43,43,18,23,4,3,0.0,605
Cuddalore,theater,Theater near Cuddalore,2024-08-10 13:00:00,28.9,2.55,31,10,13,8,5,0.0,296
Thoothukudi,temple,Temple near Thoothukudi,2024-01-25 17:00:00,35.3,0.71,25,25,17,1,3,0.0,1529
Erode,railway_station,Railway_Station near Erode,2024-06-07 02:00:00,29.2,3.82,12,7,2,6,4,0.0,2140
Karur,mall,Mall near Karur,2024-03-25 03:00:00,27.3,2.43,59,25,3,3,0,0.0,2180
Ramanathapuram,railway_station,Railway_Station near Ramanathapuram,2024-05-21 09:00:00,34.3,1.68,68,21,9,5,1,0.2,7168
Tiruppur,railway_station,Railway_Station near Tiruppur,2024-02-08 19:00:00,28.0,2.44,0,8,19,2,3,0.0,5688
Vellore,railway_station,Railway_Station near Vellore,2024-05-07 14:00:00,27.6,4.59,88,7,14,5,1,0.0,2697
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-10-19 14:00:00,31.2,1.11,36,19,14,10,5,0.0,2666
Karur,park,Park near Karur,2024-04-20 00:00:00,24.8,1.49,37,20,0,4,5,0.0,608
Madurai,hospital,Hospital near Madurai,2024-10-03 16:00:00,25.9,2.78,56,3,16,10,3,0.0,840
Chennai,stadium,Stadium near Chennai,2024-05-13 06:00:00,32.8,0.07,60,13,6,5,0,0.0,389
Pollachi,railway_station,Railway_Station near Pollachi,2024-01-12 18:00:00,28.4,1.37,51,12,18,1,4,0.0,5271
Nagercoil,theater,Theater near Nagercoil,2024-01-06 21:00:00,27.2,0.66,7,6,21,1,5,0.0,1112
Erode,railway_station,Railway_Station near Erode,2024-05-03 02:00:00,32.0,0.9,73,3,2,5,4,0.0,3745
Thoothukudi,metro_station,Metro_Station near Thoothukudi,2024-07-03 15:00:00,25.7,2.0,30,3,15,7,2,0.0,3159
Dindigul,metro_station,Metro_Station near Dindigul,2024-08-08 12:00:00,26.7,0.17,71,8,12,8,3,0.0,2448
Tiruppur,bus_stop,Bus_Stop near Tiruppur,2024-03-01 17:00:00,31.6,1.25,36,1,17,3,4,0.0,5765
Sivakasi,temple,Temple near Sivakasi,2024-03-26 10:00:00,34.3,1.33,26,26,10,3,1,0.0,3506
Tiruppur,park,Park near Tiruppur,2024-06-27 11:00:00,38.4,1.59,31,27,11,6,3,0.5,797
Sivakasi,mall,Mall near Sivakasi,2024-05-01 01:00:00,37.0,1.06,15,1,1,5,2,0.0,1779
Tirunelveli,tourist_spot,Tourist_Spot near Tirunelveli,2024-01-23 18:00:00,32.8,1.96,91,23,18,1,1,0.2,1412
Chennai,metro_station,Metro_Station near Chennai,2024-01-27 10:00:00,24.0,3.9,13,27,10,1,5,0.0,2122
Cuddalore,theater,Theater near Cuddalore,2024-01-22 19:00:00,26.6,2.3,56,22,19,1,0,0.0,624
Nagercoil,mall,Mall near Nagercoil,2024-06-28 14:00:00,25.9,2.0,0,28,14,6,4,0.2,2172
Ramanathapuram,bus_stop,Bus_Stop near Ramanathapuram,2024-05-08 03:00:00,26.2,2.85,10,8,3,5,2,0.0,2997
Kanchipuram,mall,Mall near Kanchipuram,2024-06-22 02:00:00,35.9,5.45,60,22,2,6,5,0.0,2021
Dindigul,bus_stop,Bus_Stop near Dindigul,2024-05-11 04:00:00,41.0,0.69,60,11,4,5,5,0.0,3310
Kanyakumari,tourist_spot,Tourist_Spot near Kanyakumari,2024-04-28 07:00:00,29.1,0.13,94,28,7,4,6,0.0,1124
Karur,mall,Mall near Karur,2024-06-19 16:00:00,29.4,0.24,59,19,16,6,2,0.0,1555
Pollachi,hospital,Hospital near Pollachi,2024-06-14 01:00:00,33.0,1.7,0,14,1,6,4,0.0,906
Tirunelveli,college,College near Tirunelveli,2024-01-02 22:00:00,32.3,0.76,35,2,22,1,1,0.0,1122
Kanyakumari,park,Park near Kanyakumari,2024-12-27 05:00:00,33.1,0.45,0,27,5,12,4,0.0,514
Madurai,hospital,Hospital near Madurai,2024-11-18 18:00:00,29.0,0.67,48,18,18,11,0,0.0,839
Kanchipuram,hospital,Hospital near Kanchipuram,2024-01-19 08:00:00,28.6,1.67,25,19,8,1,4,0.0,909
Dindigul,stadium,Stadium near Dindigul,2024-07-22 15:00:00,35.4,9.87,89,22,15,7,0,0.0,303
Nagercoil,park,Park near Nagercoil,2024-04-02 01:00:00,35.4,2.99,43,2,1,4,1,0.0,723
Salem,stadium,Stadium near Salem,2024-09-04 12:00:00,28.0,3.75,46,4,12,9,2,0.0,526
Chennai,college,College near Chennai,2024-03-19 07:00:00,24.5,0.56,0,19,7,3,1,0.0,1196
Pollachi,railway_station,Railway_Station near Pollachi,2024-07-27 21:00:00,20.5,1.89,33,27,21,7,5,0.0,3015
Ramanathapuram,temple,Temple near Ramanathapuram,2024-08-21 00:00:00,30.9,4.38,28,21,0,8,2,0.0,1202
Dindigul,theater,Theater near Dindigul,2024-03-03 16:00:00,34.7,0.52,41,3,16,3,6,0.0,451
Kanyakumari,theater,Theater near Kanyakumari,2024-01-02 04:00:00,33.3,0.31,85,2,4,1,1,0.0,267
Pollachi,railway_station,Railway_Station near Pollachi,2024-03-04 00:00:00,27.7,0.58,100,4,0,3,0,0.0,2181
Nagercoil,temple,Temple near Nagercoil,2024-06-21 10:00:00,30.8,11.0,71,21,10,6,4,0.0,2115
Sivakasi,park,Park near Sivakasi,2024-04-02 13:00:00,27.9,2.3,53,2,13,4,1,0.0,707
Kanyakumari,hospital,Hospital near Kanyakumari,2024-05-27 00:00:00,23.9,2.41,34,27,0,5,0,0.0,730
Salem,park,Park near Salem,2024-09-01 10:00:00,18.3,3.35,77,1,10,9,6,0.0,650
Salem,mall,Mall near Salem,2024-05-04 17:00:00,31.8,0.06,38,4,17,5,5,0.2,6460
Sivakasi,college,College near Sivakasi,2024-06-30 07:00:00,30.1,0.31,19,30,7,6,6,0.0,286
Sivakasi,college,College near Sivakasi,2024-01-18 10:00:00,26.3,0.18,19,18,10,1,3,0.5,3034
Chennai,temple,Temple near Chennai,2024-01-05 22:00:00,22.6,0.16,20,5,22,1,4,0.0,1227
Nagercoil,college,College near Nagercoil,2024-11-18 02:00:00,28.9,2.58,60,18,2,11,0,0.0,1032
Kanchipuram,tourist_spot,Tourist_Spot near Kanchipuram,2024-11-02 07:00:00,32.6,0.73,20,2,7,11,5,0.0,1198
Cuddalore,tourist_spot,Tourist_Spot near Cuddalore,2024-09-01 22:00:00,22.5,2.14,8,1,22,9,6,0.0,1429
Madurai,tourist_spot,Tourist_Spot near Madurai,2024-01-22 09:00:00,27.0,3.64,31,22,9,1,0,0.0,1816
Ramanathapuram,railway_station,Railway_Station near Ramanathapuram,2024-11-02 15:00:00,34.1,1.04,84,2,15,11,5,0.0,2107
Coimbatore,tourist_spot,Tourist_Spot near Coimbatore,2024-05-21 09:00:00,31.4,2.36,12,21,9,5,1,0.2,1266
Cuddalore,park,Park near Cuddalore,2024-02-20 11:00:00,29.7,1.81,38,20,11,2,1,0.0,472
Coimbatore,mall,Mall near Coimbatore,2024-01-21 17:00:00,31.2,0.15,38,21,17,1,6,0.0,5569
Villupuram,theater,Theater near Villupuram,2024-07-18 04:00:00,34.9,1.54,91,18,4,7,3,0.0,216
Madurai,theater,Theater near Madurai,2024-02-13 06:00:00,23.6,0.17,6,13,6,2,1,0.0,354
Vellore,railway_station,Railway_Station near Vellore,2024-10-03 01:00:00,23.8,0.25,5,3,1,10,3,0.0,2956
Madurai,temple,Temple near Madurai,2024-05-31 22:00:00,32.8,0.67,16,31,22,5,4,0.0,1661
Thoothukudi,bus_stop,Bus_Stop near Thoothukudi,2024-09-09 20:00:00,30.0,3.99,22,9,20,9,0,0.0,3204
Karur,hospital,Hospital near Karur,2024-01-11 21:00:00,29.1,0.3,12,11,21,1,3,0.2,1059
Kanyakumari,theater,Theater near Kanyakumari,2024-08-05 00:00:00,32.3,2.18,100,5,0,8,0,0.0,218
Nagercoil,mall,Mall near Nagercoil,2024-01-13 01:00:00,31.2,1.47,0,13,1,1,5,0.0,2408
Coimbatore,mall,Mall near Coimbatore,2024-01-10 17:00:00,31.1,2.12,35,10,17,1,2,0.5,6244
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-10-02 05:00:00,33.5,1.69,29,2,5,10,2,0.0,2128
Thoothukudi,metro_station,Metro_Station near Thoothukudi,2024-07-25 01:00:00,33.8,1.32,45,25,1,7,3,0.0,3604
Dindigul,mall,Mall near Dindigul,2024-04-10 03:00:00,27.7,0.5,71,10,3,4,2,0.0,1765
Nagercoil,metro_station,Metro_Station near Nagercoil,2024-09-30 12:00:00,38.0,1.01,64,30,12,9,0,0.0,2481
Ramanathapuram,stadium,Stadium near Ramanathapuram,2024-09-14 23:00:00,30.4,2.82,21,14,23,9,5,0.0,1027
Thoothukudi,tourist_spot,Tourist_Spot near Thoothukudi,2024-11-03 08:00:00,38.0,1.88,30,3,8,11,6,0.0,1448
Coimbatore,hospital,Hospital near Coimbatore,2024-09-07 15:00:00,31.8,0.41,50,7,15,9,5,0.0,823
Erode,metro_station,Metro_Station near Erode,2024-08-31 11:00:00,35.4,0.47,14,31,11,8,5,0.0,2611
Kanyakumari,theater,Theater near Kanyakumari,2024-01-22 14:00:00,28.0,1.28,40,22,14,1,0,0.0,358
Pollachi,metro_station,Metro_Station near Pollachi,2024-10-16 03:00:00,32.5,0.49,55,16,3,10,2,0.0,3037
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-03-24 12:00:00,25.4,2.78,3,24,12,3,6,0.0,2492
Kanchipuram,temple,Temple near Kanchipuram,2024-06-26 04:00:00,28.7,1.05,11,26,4,6,2,0.0,1579
Vellore,bus_stop,Bus_Stop near Vellore,2024-06-15 09:00:00,26.8,2.21,53,15,9,6,5,0.0,4474
Salem,mall,Mall near Salem,2024-11-24 15:00:00,22.3,2.58,13,24,15,11,6,0.0,2041
Dindigul,metro_station,Metro_Station near Dindigul,2024-10-13 01:00:00,24.8,0.17,0,13,1,10,6,0.0,2749
Chennai,tourist_spot,Tourist_Spot near Chennai,2024-05-05 18:00:00,25.9,1.47,78,5,18,5,6,0.0,2039
Dindigul,stadium,Stadium near Dindigul,2024-12-03 06:00:00,35.0,0.78,50,3,6,12,1,0.0,461
Madurai,stadium,Stadium near Madurai,2024-11-20 23:00:00,32.5,1.05,61,20,23,11,2,0.0,1433
Vellore,metro_station,Metro_Station near Vellore,2024-06-28 17:00:00,31.2,0.3,47,28,17,6,4,0.0,6248
Chennai,metro_station,Metro_Station near Chennai,2024-04-07 18:00:00,32.5,0.87,24,7,18,4,6,0.0,5444
Kanyakumari,park,Park near Kanyakumari,2024-09-04 05:00:00,30.6,4.02,49,4,5,9,2,0.0,532
Sivakasi,temple,Temple near Sivakasi,2024-08-09 21:00:00,16.4,0.48,5,9,21,8,4,0.0,1536
Karur,mall,Mall near Karur,2024-07-17 13:00:00,32.0,1.2,57,17,13,7,2,0.0,1435
Salem,tourist_spot,Tourist_Spot near Salem,2024-06-15 17:00:00,29.9,0.97,42,15,17,6,5,0.0,2189
Tirunelveli,stadium,Stadium near Tirunelveli,2024-03-16 19:00:00,36.3,2.15,12,16,19,3,5,0.0,1650
Nagercoil,temple,Temple near Nagercoil,2024-03-17 04:00:00,20.8,0.85,23,17,4,3,6,0.0,1556
Dindigul,stadium,Stadium near Dindigul,2024-04-01 00:00:00,30.1,1.76,2,1,0,4,0,0.0,426
Tiruchirappalli,mall,Mall near Tiruchirappalli,2024-03-02 22:00:00,30.4,6.05,34,2,22,3,5,0.0,1898
Tiruppur,park,Park near Tiruppur,2024-09-11 16:00:00,31.6,3.28,26,11,16,9,2,0.0,1153
Tirunelveli,hospital,Hospital near Tirunelveli,2024-07-01 21:00:00,25.6,2.67,8,1,21,7,0,0.0,901
Cuddalore,hospital,Hospital near Cuddalore,2024-07-23 23:00:00,29.8,1.2,25,23,23,7,1,0.0,850
Kanchipuram,tourist_spot,Tourist_Spot near Kanchipuram,2024-10-08 07:00:00,29.0,1.39,32,8,7,10,1,0.0,803
Tiruppur,stadium,Stadium near Tiruppur,2024-10-13 04:00:00,27.7,0.99,12,13,4,10,6,0.0,471
Kanchipuram,railway_station,Railway_Station near Kanchipuram,2024-06-10 18:00:00,30.6,0.42,43,10,18,6,0,0.0,5835
Kanchipuram,park,Park near Kanchipuram,2024-02-18 08:00:00,33.8,1.67,26,18,8,2,6,0.0,846
Tirunelveli,railway_station,Railway_Station near Tirunelveli,2024-09-22 08:00:00,28.2,7.83,33,22,8,9,6,0.0,7649
Thoothukudi,temple,Temple near Thoothukudi,2024-12-22 06:00:00,38.7,1.25,38,22,6,12,6,0.0,3581
Kanyakumari,bus_stop,Bus_Stop near Kanyakumari,2024-08-11 16:00:00,25.8,0.37,0,11,16,8,6,0.0,2373
Pollachi,college,College near Pollachi,2024-03-28 20:00:00,33.7,1.55,17,28,20,3,3,0.0,1200
Cuddalore,hospital,Hospital near Cuddalore,2024-12-13 18:00:00,24.0,0.44,0,13,18,12,4,0.0,557
Chennai,temple,Temple near Chennai,2024-01-12 19:00:00,25.0,0.11,49,12,19,1,4,0.0,3052
Tiruchirappalli,tourist_spot,Tourist_Spot near Tiruchirappalli,2024-07-31 03:00:00,31.7,2.54,46,31,3,7,2,0.0,734
Sivakasi,railway_station,Railway_Station near Sivakasi,2024-06-23 22:00:00,29.6,6.32,16,23,22,6,6,0.0,4057
Kanyakumari,tourist_spot,Tourist_Spot near Kanyakumari,2024-06-13 02:00:00,34.9,4.92,38,13,2,6,3,0.0,780
Sivakasi,theater,Theater near Sivakasi,2024-09-19 09:00:00,25.9,0.37,0,19,9,9,3,0.2,389
Tiruppur,metro_station,Metro_Station near Tiruppur,2024-01-16 10:00:00,27.9,1.83,0,16,10,1,1,0.0,2411
Vellore,metro_station,Metro_Station near Vellore,2024-07-30 03:00:00,34.3,0.78,82,30,3,7,1,0.0,2813
Pollachi,college,College near Pollachi,2024-01-21 17:00:00,32.9,0.08,34,21,17,1,6,0.0,366
Madurai,metro_station,Metro_Station near Madurai,2024-04-24 17:00:00,28.3,1.11,90,24,17,4,2,0.0,5592
Tiruppur,college,College near Tiruppur,2024-06-03 12:00:00,34.6,1.95,42,3,12,6,0,0.0,2417
Villupuram,railway_station,Railway_Station near Villupuram,2024-04-01 11:00:00,32.5,0.04,12,1,11,4,0,0.5,4620
Thoothukudi,hospital,Hospital near Thoothukudi,2024-08-25 09:00:00,29.1,0.13,23,25,9,8,6,0.0,700
Ramanathapuram,theater,Theater near Ramanathapuram,2024-04-05 12:00:00,40.6,0.64,74,5,12,4,4,0.0,321
Chennai,tourist_spot,Tourist_Spot near Chennai,2024-11-23 23:00:00,22.1,0.06,64,23,23,11,5,0.0,1346
Sivakasi,stadium,Stadium near Sivakasi,2024-10-24 16:00:00,26.2,0.3,12,24,16,10,3,0.2,601
Madurai,temple,Temple near Madurai,2024-10-16 22:00:00,34.8,0.38,62,16,22,10,2,0.0,1573
Vellore,railway_station,Railway_Station near Vellore,2024-11-12 19:00:00,23.9,0.58,100,12,19,11,1,0.0,6293
Vellore,tourist_spot,Tourist_Spot near Vellore,2024-12-11 03:00:00,30.4,0.6,27,11,3,12,2,0.0,612
Erode,college,College near Erode,2024-04-27 23:00:00,34.1,1.24,69,27,23,4,5,0.0,405
Tiruppur,mall,Mall near Tiruppur,2024-09-25 21:00:00,25.2,1.5,53,25,21,9,2,0.0,3597
Salem,bus_stop,Bus_Stop near Salem,2024-01-25 15:00:00,37.1,0.23,70,25,15,1,3,0.0,2195
Vellore,railway_station,Railway_Station near Vellore,2024-05-11 09:00:00,36.9,2.35,44,11,9,5,5,0.0,5161
Dindigul,temple,Temple near Dindigul,2024-11-21 07:00:00,33.6,4.3,77,21,7,11,3,0.0,3271
Nagercoil,tourist_spot,Tourist_Spot near Nagercoil,2024-02-22 05:00:00,38.5,0.28,14,22,5,2,3,0.0,1049
Villupuram,railway_station,Railway_Station near Villupuram,2024-01-26 08:00:00,37.1,2.48,33,26,8,1,4,0.5,7230
Nagercoil,mall,Mall near Nagercoil,2024-06-21 09:00:00,30.8,0.2,51,21,9,6,4,0.0,1749
Coimbatore,stadium,Stadium near Coimbatore,2024-08-04 16:00:00,31.5,0.77,7,4,16,8,6,0.0,536
Tirunelveli,mall,Mall near Tirunelveli,2024-03-18 18:00:00,24.6,2.45,32,18,18,3,0,0.0,3526
Coimbatore,tourist_spot,Tourist_Spot near Coimbatore,2024-12-16 07:00:00,28.3,2.24,63,16,7,12,0,0.5,1505
Madurai,theater,Theater near Madurai,2024-04-16 18:00:00,34.5,0.93,93,16,18,4,1,0.0,513
Coimbatore,temple,Temple near Coimbatore,2024-10-06 19:00:00,33.6,0.5,73,6,19,10,6,0.0,3871
Kanyakumari,tourist_spot,Tourist_Spot near Kanyakumari,2024-08-25 22:00:00,18.6,5.98,16,25,22,8,6,0.2,1709
Cuddalore,bus_stop,Bus_Stop near Cuddalore,2024-02-23 00:00:00,37.0,0.22,31,23,0,2,4,0.0,2803
Erode,hospital,Hospital near Erode,2024-02-01 08:00:00,27.4,0.79,42,1,8,2,3,0.0,748
Vellore,park,Park near Vellore,2024-01-26 13:00:00,24.0,0.91,42,26,13,1,4,0.0,618
Ramanathapuram,theater,Theater near Ramanathapuram,2024-11-01 09:00:00,25.0,1.26,31,1,9,11,4,0.0,274
Pollachi,park,Park near Pollachi,2024-11-14 19:00:00,35.3,0.46,6,14,19,11,3,0.0,1123
Madurai,mall,Mall near Madurai,2024-06-30 05:00:00,27.0,1.58,5,30,5,6,6,0.0,2199
Coimbatore,park,Park near Coimbatore,2024-06-29 12:00:00,39.4,1.66,51,29,12,6,5,0.0,535
Tiruchirappalli,metro_station,Metro_Station near Tiruchirappalli,2024-02-04 08:00:00,37.1,4.41,27,4,8,2,6,0.0,5862
Coimbatore,theater,Theater near Coimbatore,2024-08-04 15:00:00,27.3,4.99,37,4,15,8,6,0.5,479
